sid,name,dob,email,major,year,gpa
S001,Student 1,2009-06-28,student1@example.com,AI,2019,6.55
S002,Student 2,2001-06-08,student2@example.com,DS,2020,9.65
S003,Student 3,2001-12-13,student3@example.com,CS,2024,9.16
S004,Student 4,2005-02-07,student4@example.com,IT,2022,6.19
S005,Student 5,2002-09-14,student5@example.com,IT,2023,8.71
S006,Student 6,2006-12-03,student6@example.com,CS,2021,9.67
S007,Student 7,2001-08-08,student7@example.com,AI,2020,7.26
S008,Student 8,2003-11-25,student8@example.com,CS,2019,5.55
S009,Student 9,2003-11-17,student9@example.com,DS,2022,6.12
S010,Student 10,2006-12-24,student10@example.com,SE,2023,8.82
S011,Student 11,2003-11-05,student11@example.com,IT,2019,7.43
S012,Student 12,2003-06-15,student12@example.com,AI,2024,6.94
S013,Student 13,2005-07-05,student13@example.com,DS,2022,7.44
S014,Student 14,2008-07-15,student14@example.com,AI,2024,6.84
S015,Student 15,2000-03-05,student15@example.com,DS,2024,5.19
S016,Student 16,2005-07-07,student16@example.com,DS,2024,9.97
S017,Student 17,2009-02-20,student17@example.com,AI,2021,5.65
S018,Student 18,2004-03-16,student18@example.com,CS,2023,9.52
S019,Student 19,2001-11-01,student19@example.com,CS,2021,7.65
S020,Student 20,2009-02-23,student20@example.com,CS,2020,8.92
S021,Student 21,2002-01-20,student21@example.com,SE,2023,5.5
S022,Student 22,2000-03-12,student22@example.com,SE,2024,7.42
S023,Student 23,2003-07-23,student23@example.com,AI,2023,5.47
S024,Student 24,2007-05-06,student24@example.com,AI,2021,8.62
S025,Student 25,2001-07-18,student25@example.com,IT,2021,6.36
S026,Student 26,2001-04-08,student26@example.com,CS,2019,8.93
S027,Student 27,2009-05-24,student27@example.com,IT,2023,5.74
S028,Student 28,2000-10-23,student28@example.com,DS,2022,7.31
S029,Student 29,2007-03-04,student29@example.com,CS,2022,6.48
S030,Student 30,2008-06-04,student30@example.com,CS,2020,5.0
S031,Student 31,2004-06-02,student31@example.com,SE,2024,8.52
S032,Student 32,2002-05-15,student32@example.com,SE,2021,8.75
S033,Student 33,2002-05-26,student33@example.com,SE,2022,9.79
S034,Student 34,2004-06-14,student34@example.com,SE,2020,5.46
S035,Student 35,2001-10-10,student35@example.com,SE,2024,6.9
S036,Student 36,2008-06-09,student36@example.com,SE,2024,9.65
S037,Student 37,2000-08-25,student37@example.com,CS,2019,7.93
S038,Student 38,2003-09-21,student38@example.com,CS,2019,6.98
S039,Student 39,2007-05-28,student39@example.com,SE,2019,9.42
